,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_memory_pos_switch,sell_spread_memory_pos_switch,buy_spread_pct_ch,sell_spread_pct_ch,long_holding_ret,short_holding_ret,spread_cost_ret,transaction_cost_ret,port_rets,cum rets
2019-08-07 14:35:00,10.484356664,61.283,10.476274004,61.224000000000004,4.535,13.773097391859999,13.677442528760004,108.79290260814,108.77055747124001,-1.4331892026545048,1.0300610386645848,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.202624626024004,14.107301151984004,14.202624626024004,14.107301151984004,-0.0002569463702950587,-0.0005179038547023378,0.0,0.0002569463702950587,0.0,0.0,1.000256946370295,1.0374444820328321
2019-08-07 14:40:00,10.505968135,61.385,10.497549865,61.34,4.531499999999999,13.815352786752506,13.732205396247508,108.95464721324748,108.9477946037525,-1.5203609296265175,1.148014466858195,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.209010906690004,14.12617920131001,14.209010906690004,14.12617920131001,5.5665236128266276e-05,0.0001645482133235746,0.0,-5.5665236128266276e-05,0.0,0.0,0.9999443347638717,1.0373867324407697
2019-08-07 14:45:00,10.501361644,61.309000000000005,10.495973531999999,61.230000000000004,4.5282,13.78113265239761,13.677734203639204,108.83686734760241,108.7822657963608,-1.4341068812311426,1.0134744163315554,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.140094947192011,14.036880771864013,14.140094947192011,14.036880771864013,-0.0006006975513753487,-0.0007783588634710484,0.0,0.0006006975513753487,0.0,0.0,1.0006006975513753,1.038009888110776
2019-08-07 14:50:00,10.5106876,61.345,10.50769232,61.30666666666667,4.525666666666667,13.790687123786661,13.738798151600001,108.89931287621334,108.87453518173334,-1.4472721355351712,1.1453990886841434,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.123430713920001,14.071636592266671,14.123430713920001,14.071636592266671,-0.00014525175583364965,0.0003029448674007994,0.0,0.00014525175583364965,0.0,0.0,1.0001452517558336,1.0381606608695968
2019-08-07 14:55:00,10.54503616,61.342000000000006,10.534252104,61.302,4.5174,13.754569545390403,13.665853650815997,108.92943045460962,108.938146349184,-1.3613730414337204,0.9751078464566865,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.001071044624005,13.91260749696,14.001071044624005,13.91260749696,-0.001066533126268713,-0.0013861577034407666,0.0,0.001066533126268713,0.0,0.0,1.0010665331262687,1.0392678936048032
2019-08-07 15:00:00,10.55819842,61.45,10.55595056,61.339,4.514,13.800439172160004,13.67929233212,109.09956082784001,108.99870766788,-1.46355511957991,1.0008128860982277,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.011558183360009,13.89045630052,14.011558183360009,13.89045630052,9.140986508116967e-05,-0.00019307820073127702,0.0,-9.140986508116967e-05,0.0,0.0,0.9999085901349188,1.0391728942668657
2019-08-08 13:40:00,10.398515656,61.585,10.3859842,61.522000000000006,4.5451999999999995,14.37862461416001,14.258666640348807,108.79137538583998,108.7853333596512,-2.7713516349738927,2.3321870667600066,False,True,0.0,True,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.910387005200008,14.791070641936003,14.910387005200008,14.791070641936003,0.007834531744430013,0.00785009500793314,0.0,-0.007834531744430013,0.0,0.0,0.99216546825557,1.0310314612387805
2019-08-08 13:45:00,10.385794275,61.584999999999994,10.371808785,61.522499999999994,4.573,14.15471842619499,14.028262780424988,109.015281573805,109.01673721957499,-2.238486908921236,1.7791516769770361,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.974091320209993,14.848740528149996,14.974091320209993,14.848740528149996,0.0005552708881555491,0.0005026725259168727,0.0,-0.0005552708881555491,0.0,0.0,0.9994447291118445,1.0304589594835822
2019-08-08 13:50:00,10.36451532,61.46,10.355566920000001,61.46,4.582999999999999,14.00043680564,13.959426288440007,108.91956319436,108.96057371155999,-1.872047173874506,1.605167024224979,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.922082261519996,14.881868151920003,14.922082261519996,14.881868151920003,-0.00045333061357620476,0.00028875289013579534,0.0,0.00045333061357620476,0.0,0.0,1.000453330613576,1.03092609807595
2019-08-08 13:55:00,10.3469484,61.33996666666667,10.336511719999999,61.33996666666667,4.586,13.936723918746672,13.888861304266662,108.74320941458666,108.79107202906667,-1.714901278096001,1.4292409473848111,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.887682996986676,14.840780557066672,14.887682996986676,14.840780557066672,-0.00029983699167505885,-0.0003581350067543752,0.0,0.00029983699167505885,0.0,0.0,1.0002998369916751,1.0312352078558364
